marca,modello,versione,passo,shock_abs_tallone,shock_abs_mesopiede,energy_ret_tallone,energy_ret_mesopiede,rigidezza_flex,peso,altezza_tallone,altezza_mesopiede,drop,morbidezza_intersuola,morbidezza_intersuola_2,rocker,piastra,larghezza_mesopiede,larghezza_dita,altezza_dita,test_trazione,traspirab,rigidezza_torsionale,rigidezza_tallone,larghezza_suola_mesop,larghezza_suola_tallone,resistenza_tomaia,resistenza_tendach,resistenza_suola,spessore_suola,spessore_soletta,soletta_rimovibile,variazrigidezza_temp,elementi_catarinfr,spessore_linguetta,tipo_linguetta, prezzo ,anello_tallone
nike,Vomero Plus,,daily tr,147,131,0.67,0.69,19.8,289,42.3,32.7,9.6,15.1,,4x8,#N/D,94.6,71.1,26.2,0.42,3.0,4.0,3.0,117.0,99.2,3.0,4.0,0.8,2.9,3.3,y,0.06,y,11.2,std,170.0,y
nike,Vomero,18.0,daily tr,147,116,0.57,0.59,16.0,298,42.5,28.6,13.9,15.0,21.5,"3,5x9",#N/D,95.6,69.6,26.2,0.38,3.0,4.0,3.0,116.6,96.5,3.0,5.0,1.1,3.8,4.6,y,0.13,y,13.4,semi integr,150.0,y
nike,Pegasus premium,,daily tr,155,136,0.67,0.68,21.2,308,42.8,31.0,11.8,18.5,21.5,4x9,airzoom,91.3,70.3,29.1,0.49,5.0,4.0,5.0,108.6,90.3,1.0,5.0,1.0,3.2,2.7,y,0.08,y,9.9,std,210.0,y/n
nike,Vomero Premium,,daily tr,173,147,0.63,0.64,21.5,326,50.1,41.3,8.8,15.9,,5x9,airzoom,94.6,68.6,30.8,0.51,3.0,5.0,4.0,118.4,103.2,3.0,5.0,0.7,2.8,4.1,y,0.24,y,12.4,semi integr,230.0,n
puma,Fast-R Nitro Elite,3.0,race,148,124,0.8,0.83,23.1,173,38.5,30.2,8.3,20.1,19.8,"4,5x9",carbonio,92.9,72.3,26.3,0.71,4.0,5.0,1.0,111.6,80.0,1.0,2.0,3.1,1.5,3.5,n,0.02,n,0.4,std,300.0,n
puma,Deviate Nitro Elite,3.0,race,147,124,0.77,0.76,18.1,204,39.2,28.6,10.6,15.1,18.3,5x9,carbonio,94.4,69.5,26.5,0.67,4.0,5.0,1.0,108.0,82.7,1.0,5.0,1.6,2.6,2.8,y,0.26,n,6.1,std,230.0,n
puma,Velocity Nitro,4.0,daily tr,136,100,0.68,0.74,8.9,224,33.7,24.0,9.7,20.0,,4x7,#N/D,93.0,71.6,25.9,0.65,3.0,2.0,3.0,109.1,89.5,3.0,3.0,1.1,3.9,5.2,y,0.41,y,4.1,semi integr,130.0,y/n
puma,Deviate Nitro,3.0,tempo,132,100,0.61,0.63,20.6,268,37.4,27.3,10.1,18.0,19.0,4x8,carbonio,91.5,69.7,24.6,0.65,3.0,4.0,2.0,109.3,82.7,3.0,3.0,1.5,3.2,5.0,y,0.3,n,4.7,semi integr,170.0,n
puma,ForeverRun Nitro,2.0,daily tr,139,105,0.61,0.64,10.8,291,35.3,26.5,8.8,19.5,,4x8,#N/D,92.9,73.1,28.1,0.63,4.0,2.0,2.0,121.3,97.6,4.0,3.0,1.0,3.6,5.5,y,0.23,y,1.2,semi integr,160.0,y
puma,MagMax Nitro,,daily tr,148,139,0.56,0.57,17.9,291,42.9,33.3,9.6,18.3,,5x9,#N/D,97.1,72.3,26.4,0.6,4.0,5.0,3.0,126.9,105.8,3.0,3.0,1.4,3.5,3.3,y,0.55,y,7.1,semi integr,190.0,y
